               * /home/drako/esim-workspace/xor_gate/xor_gate.cir
               Transient Analysis  Tue Jun 29 19:57:36  2021
--------------------------------------------------------------------------------
Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	-2.10551e-10	0.000000e+00	0.000000e+00	
1	1.000000e-12	1.219399e-04	-1.30568e-04	-1.14148e-04	
2	2.000000e-12	1.308446e-04	-1.36189e-04	-1.22148e-04	
3	4.000000e-12	1.466129e-04	-1.43659e-04	-1.34529e-04	
4	8.000000e-12	1.718581e-04	-1.54561e-04	-1.52850e-04	
5	1.600000e-11	2.072535e-04	-1.69094e-04	-1.73790e-04	
6	3.200000e-11	2.509536e-04	-2.06535e-04	-2.10219e-04	
7	6.400000e-11	2.120115e-04	-2.97259e-04	-3.07017e-04	
8	1.000000e-10	-1.85271e-05	-4.02966e-04	-3.21708e-04	
9	1.056773e-10	-1.54569e-04	-2.03563e-04	-9.23467e-05	
10	1.170318e-10	-1.61322e-04	-1.05028e-04	-2.48846e-05	
11	1.397408e-10	-1.88846e-04	-1.66253e-05	-3.86074e-05	
12	1.628963e-10	-2.21361e-04	2.448015e-06	2.866665e-05	
13	1.981328e-10	-2.59525e-04	-1.35721e-05	4.760854e-05	
14	2.465483e-10	-1.45546e-04	5.380881e-06	7.489041e-06	
15	3.041920e-10	-1.38054e-04	1.356182e-05	2.961666e-06	
16	3.659190e-10	-8.49721e-05	2.754235e-06	5.671310e-06	
17	4.553433e-10	-8.30579e-05	1.140516e-05	2.879166e-07	
18	5.553433e-10	-4.12643e-05	-5.26228e-06	2.700858e-06	
19	6.553433e-10	-6.36413e-05	7.253929e-06	-1.48739e-06	
20	7.553433e-10	-3.44909e-05	-6.52648e-06	2.115726e-06	
21	8.553433e-10	-6.15168e-05	6.692830e-06	-1.76823e-06	
22	9.553433e-10	-3.37053e-05	-6.57372e-06	2.061952e-06	
23	1.055343e-09	-6.13150e-05	6.563265e-06	-1.85112e-06	
24	1.155343e-09	-3.35627e-05	-6.51951e-06	2.065676e-06	
25	1.255343e-09	-6.13072e-05	6.499956e-06	-1.89923e-06	
26	1.355343e-09	-3.35011e-05	-6.47417e-06	2.073804e-06	
27	1.455343e-09	-6.13177e-05	6.460358e-06	-1.93316e-06	
28	1.555343e-09	-3.34588e-05	-6.44387e-06	2.080134e-06	
29	1.655343e-09	-6.13285e-05	6.435606e-06	-1.95781e-06	
30	1.755343e-09	-3.34264e-05	-6.42546e-06	2.084090e-06	
31	1.855343e-09	-6.13377e-05	6.421427e-06	-1.97573e-06	
32	1.955343e-09	-3.34008e-05	-6.41586e-06	2.085941e-06	
33	2.055343e-09	-6.13453e-05	6.414999e-06	-1.98865e-06	
34	2.155343e-09	-3.33803e-05	-6.41280e-06	2.086076e-06	
35	2.255343e-09	-6.13514e-05	6.414299e-06	-1.99779e-06	
36	2.355343e-09	-3.33637e-05	-6.41463e-06	2.084853e-06	
37	2.455343e-09	-6.13562e-05	6.417906e-06	-2.00406e-06	
38	2.555343e-09	-3.33502e-05	-6.42015e-06	2.082572e-06	
39	2.655343e-09	-6.13599e-05	6.424787e-06	-2.00811e-06	
40	2.755343e-09	-3.33392e-05	-6.42849e-06	2.079470e-06	
41	2.855343e-09	-6.13628e-05	6.434178e-06	-2.01044e-06	
42	2.955343e-09	-3.33300e-05	-6.43901e-06	2.075738e-06	
43	3.055343e-09	-6.13649e-05	6.445503e-06	-2.01142e-06	
44	3.155343e-09	-3.33225e-05	-6.45122e-06	2.071528e-06	
45	3.255343e-09	-6.13665e-05	6.458332e-06	-2.01134e-06	
46	3.355343e-09	-3.33162e-05	-6.46474e-06	2.066956e-06	
47	3.455343e-09	-6.13676e-05	6.472334e-06	-2.01041e-06	
48	3.555343e-09	-3.33109e-05	-6.47928e-06	2.062111e-06	
49	3.655343e-09	-6.13683e-05	6.487255e-06	-2.00880e-06	
50	3.755343e-09	-3.33064e-05	-6.49463e-06	2.057062e-06	
51	3.855343e-09	-6.13688e-05	6.502897e-06	-2.00665e-06	
52	3.955343e-09	-3.33026e-05	-6.51061e-06	2.051865e-06	
53	4.055343e-09	-6.13690e-05	6.519104e-06	-2.00407e-06	
54	4.155343e-09	-3.32994e-05	-6.52709e-06	2.046563e-06	

Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
55	4.255343e-09	-6.13691e-05	6.535754e-06	-2.00112e-06	
56	4.355343e-09	-3.32966e-05	-6.54395e-06	2.041189e-06	
57	4.455343e-09	-6.13690e-05	6.552751e-06	-1.99790e-06	
58	4.555343e-09	-3.32942e-05	-6.56111e-06	2.035768e-06	
59	4.655343e-09	-6.13689e-05	6.570017e-06	-1.99443e-06	
60	4.755343e-09	-3.32921e-05	-6.57851e-06	2.030322e-06	
61	4.855343e-09	-6.13687e-05	6.587489e-06	-1.99078e-06	
62	4.955343e-09	-3.32902e-05	-6.59609e-06	2.024866e-06	
63	5.055343e-09	-6.13684e-05	6.605120e-06	-1.98697e-06	
64	5.100000e-09	-3.32884e-05	-6.62482e-06	2.016701e-06	
65	5.110000e-09	-1.29525e-04	2.452932e-04	-1.39369e-05	
66	5.130000e-09	-1.66211e-04	2.773588e-04	-5.18408e-07	
67	5.170000e-09	-2.27254e-04	2.486045e-04	8.054821e-06	
68	5.200000e-09	-2.76010e-04	1.803545e-04	-2.30757e-05	
69	5.206045e-09	-2.03563e-04	3.573014e-05	-5.91676e-05	
70	5.218136e-09	-1.89787e-04	1.801586e-05	-1.15757e-04	
